stop_id,stop_name,stop_lat,stop_lon,parent_station
100296,Pandora at Belmont (EB),48.42647,-123.337801,
100297,Gorge Rd E at Jutland (WB),48.442217,-123.377189,
100298,Hillside at Bakery (WB),48.440121,-123.3543218,
100299,Esquimalt at Head (EB),48.430624,-123.400301,
100300,Jutland at Cecelia (NB),48.442621,-123.375648,
100301,Hillside at Blackwood (EB),48.440096,-123.353468,
100302,Fernwood at Haultain (SB),48.435933,-123.34502,
100303,Fairfield at St Charles (WB),48.412276,-123.337658,
100304,Quadra at Topaz (SB),48.442066,-123.360027,
100305,Old Esquimalt at Aldebury (EB),48.432902,-123.39923,
100306,Fernwood at Haultain (NB),48.436036,-123.344855,
100307,Esquimalt at Head (WB),48.430404,-123.401109,
100308,Old Esquimalt at Aldebury (WB),48.433017,-123.399134,
100309,Cook at Hillside (SB),48.440072,-123.351937,
100310,Craigflower at Alderman (EB),48.438688,-123.390956,
100311,Hillside at Cook (WB),48.440341,-123.352538,
100312,Oak Bay at McGregor (EB),48.426472,-123.335976,
100313,Fairfield at St Charles (EB),48.412163,-123.336833,
100314,Lyall at MacAulay (EB),48.4267,-123.403953,
100315,Quadra at Topaz (NB),48.442863,-123.360052,
100316,Haultain at Roseberry (WB),48.436281,-123.344032,
100317,Oak Bay at McGregor (WB),48.426586,-123.336271,
100318,Craigflower at Coventry (WB),48.439052,-123.391616,
100319,Jutland at Sumas (SB),48.443659,-123.37486,
100320,Fort at Verrinder (EB),48.427028,-123.33577,
100321,Begbie at Vining (EB),48.429086,-123.336599,
100322,Hillside at Cook (EB),48.440409,-123.35119,
100323,Burnside Rd E at Jutland (EB),48.443866,-123.373336,
100324,Lyall at MacAulay (WB),48.426927,-123.404804,
100325,Gorge Rd E at Washington (WB),48.443147,-123.381582,
100326,Gorge Rd E at Washington (EB),48.44304,-123.382149,
100327,Esquimalt at MacAulay (EB),48.429057,-123.404045,
100328,Finlayson at Burnside Rd E (EB),48.444232,-123.373359,
100329,Cook at Basil (NB),48.440666,-123.351368,
100330,Begbie at Shakespeare (WB),48.429443,-123.335983,
100331,Haultain at Avebury (EB),48.436131,-123.341991,
100332,Ross at St Charles (WB),48.410943,-123.335949,
100333,Quadra at Summit (SB),48.443646,-123.36048,
100335,Ross at St Charles (EB),48.410798,-123.335852,
100336,Hillside at Higgins (WB),48.440828,-123.349719,
100337,Hillside at Higgins (EB),48.440835,-123.348763,
100338,Craigflower at Dominion (EB),48.439545,-123.393465,
100339,Finlayson at Douglas (WB),48.444879,-123.371635,
100340,Fairfield at Lillian (SB),48.4131323,-123.334277,
100342,Old Esquimalt at Head (EB),48.432938,-123.402423,
100343,Finlayson at Nanaimo (EB),48.44506,-123.369827,
100344,Quadra at Spruce (NB),48.444249,-123.360446,
100345,Fairfield at Lillian (NB),48.41306519,-123.3341011,
100346,Burnside Rd E at Frances (WB),48.445005,-123.375391,
100347,Douglas at Finlayson (SB),48.44477195,-123.3707825,
100348,Esquimalt at Lampson (WB),48.429442,-123.40555,
100349,Carey at Ravine (NB),48.45565588,-123.3770095,
100351,Fort at Morrison (WB),48.428093,-123.33403,
100352,Haultain at Asquith (WB),48.436212,-123.340769,
100353,Lyall at Lampson (EB),48.427098,-123.406967,
100354,Cook at Higgins (SB),48.441961,-123.350074,
100355,Legislature Terminus Bay B,48.418818,-123.36895,
100356,Cook at Higgins (NB),48.441943,-123.349843,
100357,Richardson at Richmond (WB),48.417552,-123.33181,
100358,Douglas at Finlayson (NB),48.445493,-123.370815,
100359,Finlayson at Blanshard (WB),48.445523,-123.36769,
100360,Ross at Wildwood (WB),48.41092,-123.334237,
100361,Oak Bay at Jubilee (EB),48.426395,-123.3319,
100362,Burnside Rd E at Napier (EB),48.445446,-123.376613,
100363,Gorge Rd E at Balfour (EB),48.443418,-123.386488,
100364,Lampson at Wychbury (NB),48.425758,-123.407941,
100365,Esquimalt at Lampson (EB),48.429448,-123.406388,
100366,Lampson at Fernhill (NB),48.431271,-123.405149,
100367,Lampson at Bewdley (NB),48.423766,-123.408524,
100368,Haultain at Belmont (EB),48.436091,-123.339421,
100369,Gorge Rd E at Balfour (WB),48.443594,-123.386813,
100370,Lampson at Wychbury (SB),48.425114,-123.408319,
100371,Lampson at Munro (NB),48.42201,-123.409067,
100372,Lampson at Old Esquimalt (NB),48.43339,-123.403667,
100373,Lampson at Lyall (SB),48.426767,-123.407835,
100374,Lampson at Bewdley (SB),48.42313,-123.408921,
100375,Richardson at Richmond (EB),48.417682,-123.330918,
100376,Lampson at Norma (SB),48.431081,-123.4056703,
100377,Ross at Wildwood (EB),48.410795,-123.333601,
100378,Finlayson at Glasgow (EB),48.446016,-123.362767,
100379,Lampson at Old Esquimalt (SB),48.43398,-123.403631,
100380,Burnside Rd E at Alpha (WB),48.446136,-123.377775,
100381,Lampson at Munro (SB),48.421757,-123.409362,
100382,Oak Bay at Belcher (WB),48.426541,-123.332785,
100383,Fairfield at Robertson (WB),48.415103,-123.332025,
100384,Fort at Leighton (EB),48.428549,-123.332382,
100385,Hillside at Cedar Hill (EB),48.441031,-123.345439,
100386,Craigflower at Carrie (EB),48.440101,-123.395387,
100387,Esquimalt at Lampson (WB),48.429745,-123.407483,
100388,Craigflower at Carrie (WB),48.440264,-123.395422,
100389,Quadra at Finlayson (SB),48.445953,-123.361164,
100390,Fairfield at Richmond (EB),48.415281,-123.330933,
100391,Haultain at Forbes (WB),48.436187,-123.33836,
100392,Finlayson at Glasgow (WB),48.44621,-123.362159,
100393,Richardson at Gonzales (SB),48.418348,-123.330067,
100394,Douglas at Herald (NB),48.429953,-123.364382,
100395,Gorge Rd E at Harriet (EB),48.443765,-123.389705,
100396,Hillside at Cedar Hill (WB),48.441249,-123.344687,
100397,Oak Bay at Richmond (EB),48.426386,-123.329869,
100398,Gorge Rd E at Harriet (WB),48.44388,-123.389637,
100399,Burnside Rd E at Alpha (EB),48.446668,-123.37917,
100400,Haultain at Victor (EB),48.436049,-123.336931,
100401,Quadra at Finlayson (NB),48.446823,-123.36117,
100402,Fort at Ashgrove (WB),48.429109,-123.331372,
100403,Shelbourne at Denman (SB),48.432741,-123.333487,
100404,Munro at Kinver (EB),48.421721,-123.410952,
100405,Uvic Exchange Bay G,48.46624315,-123.3088518,800001
100406,Oak Bay at Richmond (WB),48.426528,-123.330642,
100407,Richmond at Leighton (SB),48.428133,-123.330316,
100408,Lampson at Wurtele (SB),48.437048,-123.402614,
100409,Haultain at Shakespeare (WB),48.43616,-123.33652,
100410,Crescent at Richmond (WB),48.411738,-123.330629,
100411,Shelbourne at Denman (NB),48.432807,-123.333272,
100412,Crescent at Richmond (EB),48.411664,-123.330495,
100413,Kiwanis at Cedar Hill (SB),48.44363769,-123.3480041,
100414,Burnside Rd E at Washington (WB),48.447233,-123.380018,
100415,Munro at Kinver (WB),48.421958,-123.411801,
100416,Craigflower at Arcadia (EB),48.44076,-123.39917,
100417,Craigflower at Arcadia (WB),48.440747,-123.398572,
100418,Lampson at Ellery (NB),48.437575,-123.402232,
100419,Lampson at Colville (SB),48.43854,-123.402105,
100420,Cedar Hill at Hipwood (NB),48.443884,-123.347515,
100421,Esquimalt at Fernhill (EB),48.42992,-123.410175,
100422,Finlayson at Somerset (WB),48.446921,-123.356466,
100424,Finlayson at Blackwood (EB),48.446922,-123.35555,
100425,Richardson at Lawndale (EB),48.419512,-123.327626,
100426,Cook at Summit (SB),48.445062,-123.349224,
100427,Fort at Richmond (EB),48.429692,-123.32967,
100428,Haultain at Scott (EB),48.436053,-123.334599,
100430,Esquimalt at Fernhill (WB),48.43009,-123.410149,
100431,Haultain at Scott (WB),48.436175,-123.334839,
100432,Foul Bay at Fairfield (SB),48.415759,-123.327667,
100433,Shelbourne at Haultain (SB),48.435479,-123.333794,
100434,Richmond at Birch (NB),48.430108,-123.329877,
100436,Foul Bay at Fairfield (NB),48.415854,-123.327472,
100437,Richardson at Moss Park (WB),48.41986563,-123.3267315,
100438,Fort at Bank (WB),48.429897,-123.32956,
100439,Foul Bay at Quixote (NB),48.41424,-123.327702,
100440,Cedar Hill at Hibberson (SB),48.444762,-123.346908,
100441,Richmond at Coronation (SB),48.431359,-123.329778,
100442,Hillside at Gosworth (EB),48.442263,-123.341654,
100443,Cook at Summit (NB),48.445607,-123.349158,
100444,Munro at Plaskett (NB),48.422522,-123.413771,
100445,Quadra at Tolmie (SB),48.448749,-123.361938,
100446,Burnside Rd E at Eldon (EB),48.448134,-123.382181,
100447,Munro at Plaskett (SB),48.42234,-123.413824,
100448,Hillside at Gosworth (WB),48.44239,-123.34175,
