shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,stop_id,travel_time
26.2,48.47086288,-123.3579172,87,,
26.2,48.47070512,-123.3591173,88,,
26.2,48.47068015,-123.3593072,89,,
26.2,48.47043064,-123.3612051,90,,
26.2,48.47036884,-123.3617273,91,,
26.2,48.47032149,-123.3621278,92,100927,90
26.2,48.47014639,-123.3636085,93,,
26.2,48.4700298,-123.3645943,94,,
26.2,48.46985821,-123.3659825,95,,
26.2,48.46983632,-123.3661595,96,100918,60
26.2,48.46966115,-123.3675765,97,,
26.2,48.46952245,-123.3686983,98,,
26.2,48.46939183,-123.3697547,99,,
26.2,48.4692354,-123.3710197,100,,
26.2,48.46890346,-123.3709503,101,100891,60
26.2,48.4686081,-123.3708885,102,,
26.2,48.46836099,-123.3707429,103,,
26.2,48.46791053,-123.3704832,104,,
26.2,48.46764102,-123.3703278,105,,
26.2,48.467545,-123.3702724,106,,
26.2,48.46700741,-123.3696622,107,,
26.2,48.4668249,-123.369455,108,,
26.2,48.4663776,-123.3688344,109,,
26.2,48.46622659,-123.368674,110,,
26.2,48.46614563,-123.3685827,111,100831,90
26.2,48.46556343,-123.367926,112,,
26.2,48.465169,-123.3674811,113,,
26.2,48.46495174,-123.3674142,114,,
26.2,48.46490717,-123.3674147,115,,
26.2,48.4648022,-123.3674205,116,,
26.2,48.46462096,-123.367466,117,,
26.2,48.46436554,-123.3675301,118,,
26.2,48.46433169,-123.3675386,119,,
26.2,48.4635188,-123.3678472,120,,
26.2,48.46334537,-123.3678731,121,,
26.2,48.46332154,-123.3678767,122,,
26.2,48.46287009,-123.3679441,123,,
26.2,48.46274046,-123.3679996,124,100759,60
26.2,48.46269969,-123.368017,125,,
26.2,48.46259839,-123.3681145,126,,
26.2,48.46215969,-123.3689049,127,,
26.2,48.4621522,-123.3689184,128,,
26.2,48.4619328,-123.36909,129,,
26.2,48.461919,-123.369096,130,,
26.2,48.46172409,-123.3691813,131,,
26.2,48.4615417,-123.3692117,132,,
26.2,48.4609551,-123.3690823,133,,
26.2,48.4607234,-123.3690133,134,100722,45
26.2,48.4602983,-123.3688866,135,,
26.2,48.4599506,-123.3687575,136,,
26.2,48.45958849,-123.3687034,137,,
26.2,48.4591108,-123.3687124,138,,
26.2,48.4588487,-123.368727,139,,
26.2,48.45856655,-123.3687691,140,100675,45
26.2,48.458227,-123.3688197,141,,
26.2,48.4579666,-123.3689354,142,,
26.2,48.4573078,-123.3693164,143,,
26.2,48.45717558,-123.3694021,144,,
26.2,48.45702711,-123.3694965,145,,
26.2,48.45686398,-123.3696003,146,100643,60
26.2,48.45676017,-123.3696804,147,,
26.2,48.45614727,-123.3701533,148,,
26.2,48.45610466,-123.3702512,149,,
26.2,48.45584441,-123.3708492,150,,
26.2,48.45524725,-123.3721137,151,,
26.2,48.45524221,-123.3721251,152,,
26.2,48.45490764,-123.3728778,153,100593,60
26.2,48.45488425,-123.3729305,154,,
26.2,48.45430306,-123.3740401,155,,
26.2,48.45423185,-123.3740778,156,,
26.2,48.45410349,-123.374247,157,,
26.2,48.45390104,-123.3744837,158,100571,30
26.2,48.45293405,-123.375018,159,,
26.2,48.45277373,-123.3753536,160,,
26.2,48.45275805,-123.3754355,161,,
26.2,48.4527458,-123.3754996,162,,
26.2,48.45264411,-123.3763654,163,100542,60
26.2,48.45260487,-123.3766996,164,,
26.2,48.4524144,-123.3783233,165,,
26.2,48.45233649,-123.3790364,166,,
26.2,48.4521996,-123.3801375,167,,
26.2,48.45207319,-123.3812245,168,,
26.2,48.45202769,-123.3814632,169,,
26.2,48.4519035,-123.3819116,170,,
26.2,48.45187053,-123.3819629,171,100538,60
26.2,48.45170289,-123.3822237,172,,
26.2,48.44945016,-123.3846299,173,,
26.2,48.4497622,-123.3852498,174,,
26.2,48.45004659,-123.3858145,175,,
26.2,48.4502391,-123.3861967,176,,
26.2,48.45030542,-123.3863271,177,100523,60
26.2,48.4507746,-123.3872497,178,,
26.2,48.45121999,-123.3881255,179,,
26.2,48.451493,-123.3886639,180,,
26.2,48.45165608,-123.3889834,181,,
26.2,48.4517242,-123.3891169,182,100587,60
26.2,48.4520397,-123.389734,183,,
26.2,48.4522765,-123.3901934,184,,
26.2,48.45286819,-123.391261,185,,
26.2,48.4531765,-123.391842,186,,
26.2,48.4532516,-123.3918919,187,,
26.2,48.4534705,-123.3922484,188,,
26.2,48.4537601,-123.3926536,189,,
26.2,48.4542232,-123.3930776,190,,
26.2,48.45430552,-123.3931257,191,,
26.2,48.45421909,-123.3932047,192,,
26.2,48.45360246,-123.3939081,193,,
26.2,48.45328929,-123.3942653,194,100648,120
26.2,48.45253449,-123.3951263,195,,
26.2,48.4518797,-123.3958731,196,,
26.2,48.45151039,-123.3962725,197,100619,60
26.2,48.4514412,-123.3963473,198,,
26.2,48.4511445,-123.3966682,199,,
26.2,48.4511057,-123.3966676,200,,
26.2,48.450704,-123.3971285,201,,
26.2,48.4499875,-123.3979536,202,,
26.2,48.44968774,-123.3982997,203,100598,60
26.2,48.4493062,-123.3987403,204,,
26.2,48.4486326,-123.3995144,205,,
26.2,48.4481955,-123.4000028,206,,
26.2,48.44818807,-123.4000105,207,,
26.2,48.44799811,-123.4002083,208,100581,45
26.2,48.44788339,-123.4003277,209,,
26.2,48.447717,-123.4004206,210,,
26.2,48.44748389,-123.4004752,211,,
26.2,48.447283,-123.4004822,212,,
26.2,48.4465731,-123.4003036,213,,
26.2,48.4465126,-123.4002884,214,,
26.2,48.44629621,-123.4003273,215,,
26.2,48.4460939,-123.4004261,216,,
26.2,48.44589911,-123.4005333,217,,
26.2,48.44561829,-123.4006877,218,,
26.2,48.445422,-123.4007957,219,100539,120
26.2,48.44536615,-123.4008265,220,,
26.2,48.44525639,-123.4008868,221,,
26.2,48.44443899,-123.4013365,222,,
26.2,48.44392879,-123.4014927,223,,
26.2,48.44366195,-123.401574,224,100509,30
26.2,48.4432369,-123.4017035,225,,
26.2,48.4430517,-123.401765,226,,
26.2,48.441857,-123.402137,227,,
26.2,48.44129407,-123.4023459,228,100483,60
26.2,48.44077311,-123.4025392,229,,
26.2,48.4399696,-123.4028373,230,,
26.2,48.43974589,-123.4026539,231,,
26.2,48.43959679,-123.4019036,232,,
26.2,48.4394452,-123.4017162,233,,
26.2,48.4388064,-123.401924,234,,
26.2,48.43852696,-123.4020198,235,100419,60
26.2,48.4381312,-123.4021555,236,,
26.2,48.4380141,-123.4021957,237,,
26.2,48.4372728,-123.4024523,238,,
26.2,48.43703569,-123.4025335,239,100408,60
26.2,48.43694533,-123.4025645,240,,
26.2,48.4367988,-123.4026147,241,,
26.2,48.4360701,-123.4028666,242,,
26.2,48.43583723,-123.4029466,243,,
26.2,48.4357428,-123.402979,244,,
26.2,48.43494368,-123.4032378,245,,
26.2,48.43459169,-123.4033518,246,,
26.2,48.4339688,-123.4035535,247,100379,120
26.2,48.433846,-123.4035933,248,,
26.2,48.4329879,-123.4039778,249,,
26.2,48.4328461,-123.4040666,250,,
26.2,48.4318067,-123.4047173,251,,
26.2,48.4312383,-123.4053355,252,,
26.2,48.431122,-123.4054835,253,,
26.2,48.4310368,-123.4055938,254,100376,90
26.2,48.4307768,-123.4059302,255,,
26.2,48.4301275,-123.4065555,256,,
26.2,48.4295892,-123.4068549,257,,
26.2,48.42966998,-123.4075039,258,100387,45
26.2,48.42970147,-123.4077569,259,,
26.2,48.42973987,-123.4078519,260,,
26.2,48.42975341,-123.4079632,261,,
26.2,48.42992937,-123.4093631,262,,
26.2,48.42998298,-123.4097897,263,,
26.2,48.42998462,-123.4098031,264,,
26.2,48.43002837,-123.4101657,265,100430,45
26.2,48.43010739,-123.4108206,266,,
26.2,48.43015869,-123.412441,267,,
26.2,48.43018484,-123.4132787,268,100470,60
26.2,48.4301964,-123.4136493,269,,
26.2,48.43012673,-123.4147744,270,,
26.2,48.43012589,-123.414788,271,,
26.2,48.43002929,-123.4156325,272,,
